text,id,Brand
RT @McrSoup: Help @StAnnsHospice win a £2k grant from @Starbucks by giving them a cheer! Simply tweet using the hashtag #CheerforGood &amp; tag…,133,Starbucks
@Starbucks Wish I could try it. I need it to be available worldwide. #ChickenCapresePanini #starbucks,134,Starbucks
I’ve seen my local @Starbucks donate to so many organizations in the last few days! Thank you for always being so kind and giving back!<U+2764><U+FE0F>,135,Starbucks
RT @AlexTheHonk: This is what would happen if I was allowed coffee @Starbucks https://t.co/MWjX2ZyVN2,136,Starbucks
Pretty confident that any preworkout on the market has NOTHING on @Starbucks’ iced coffee,137,Starbucks
Coffee!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> @starbucks gives me life! #nofilterneeded #coffeelife https://t.co/LoS44uvTvv,138,Starbucks
Shout out to the @Starbucks  barista who recognized a customer having a rough day and added an extra shot on the house #RandomActsOfKindness,139,Starbucks
@Starbucks @Starbucksnews @starbuckshelp You Have Lost Me As a Gold Card (since 2010) customer due to your very poo… https://t.co/rpnqcrkL7N,140,Starbucks
RT @CamilleLenore: RT OR TAG A FRIEND <U+2728> I'm going to send a random stranger a free drink to @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #HappyHolidays #GiveGood  <U+2615><U+FE0F><U+2615><U+FE0F><U+2615><U+FE0F> h…,141,Starbucks
The snickerdoodle hot chocolate @Starbucks is the fucking bomb <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>,142,Starbucks
"@Starbucks needs to come out with a wellness/feel better brand of coffee, kinda strange but I’ll buy!",143,Starbucks
I understand the thought but I didn't know the #wheelchair bound represented another #gender. WTF @Starbucks ?… https://t.co/CVuPNYynQw,144,Starbucks
"Hey @Starbucks my app shows a Brown Sugar Shortbread latte, and shows my local place has it, but when I go there, t… https://t.co/DC6mpoucHS",145,Starbucks
RT @CamilleLenore: RT OR TAG A FRIEND <U+2728> I'm going to send a random stranger a free drink to @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #HappyHolidays #GiveGood  <U+2615><U+FE0F><U+2615><U+FE0F><U+2615><U+FE0F> h…,146,Starbucks
@Starbucks #givegood this holiday season,147,Starbucks
Bullshit that the marketing department of @starbucks in Bridgeport Emily Dr. in West Virginia. The location is so s… https://t.co/4zBXiEVeJx,148,Starbucks
RT @monroeLAP: ELLs are worth melting for here at NWE. @HarrisLeads @BrittonWayneNWE @Starbucks https://t.co/I6hJyz5sLi,149,Starbucks
@Starbucks needs to come out with a turmeric latte!!,150,Starbucks
@BrennaDemands @ddlovato @Starbucks @MomsDemand I love Demi now @erinmillard,151,Starbucks
RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…,152,Starbucks
"@karenstivali @Starbucks It’s this latte with “warm holiday spices”.  So a little cinnamon, nutmeg, ginger, clove.… https://t.co/2qDPN2atP2",153,Starbucks
@lupis93 @Starbucks Hahahah I would’ve had the same problem! The struggle is real!,154,Starbucks
Slowwww clap for @Starbucks. Congrats on making the worst hot chocolate I’ve ever had.,155,Starbucks
"Just had the longest wait &amp; rudest service at @Starbucks ever (Looking at you, Lake Boone Trail store). I’ve been g… https://t.co/VsOqaPMswv",156,Starbucks
RT @McrSoup: Help @StAnnsHospice win a £2k grant from @Starbucks by giving them a cheer! Simply tweet using the hashtag #CheerforGood &amp; tag…,157,Starbucks
@lupis93 @Starbucks Don’t worry they were happy tears! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><U+2764><U+FE0F><U+2764><U+FE0F>,158,Starbucks
