"word","n","Brand"
"brew",3,"DunkinDonuts"
"briankearley",3,"DunkinDonuts"
"buy",3,"DunkinDonuts"
"buying",3,"DunkinDonuts"
"called",3,"DunkinDonuts"
"calorie",3,"DunkinDonuts"
"car",3,"DunkinDonuts"
"celebrate",3,"DunkinDonuts"
"charge",3,"DunkinDonuts"
"charging",3,"DunkinDonuts"
"chicken",3,"DunkinDonuts"
"children's",3,"DunkinDonuts"
"cocoa",3,"DunkinDonuts"
"college",3,"DunkinDonuts"
"colors",3,"DunkinDonuts"
"cornerpubron",3,"DunkinDonuts"
"couchmendbc",3,"DunkinDonuts"
"customers",3,"DunkinDonuts"
"date",3,"DunkinDonuts"
"deal",3,"DunkinDonuts"
"decaf",3,"DunkinDonuts"
"december",3,"DunkinDonuts"
"decided",3,"DunkinDonuts"
"deliver",3,"DunkinDonuts"
"discontinue",3,"DunkinDonuts"
"discontinued",3,"DunkinDonuts"
"dogs",3,"DunkinDonuts"
"donate",3,"DunkinDonuts"
"doughnut",3,"DunkinDonuts"
"dougsides",3,"DunkinDonuts"
"drawing",3,"DunkinDonuts"
"driving",3,"DunkinDonuts"
"dry",3,"DunkinDonuts"
"dude",3,"DunkinDonuts"
"enjoy",3,"DunkinDonuts"
"fans",3,"DunkinDonuts"
"fat",3,"DunkinDonuts"
"finally",3,"DunkinDonuts"
"fix",3,"DunkinDonuts"
"folks",3,"DunkinDonuts"
"forget",3,"DunkinDonuts"
"found",3,"DunkinDonuts"
"gc",3,"DunkinDonuts"
"girls",3,"DunkinDonuts"
"giving",3,"DunkinDonuts"
"glad",3,"DunkinDonuts"
"gotta",3,"DunkinDonuts"
"half",3,"DunkinDonuts"
"hard",3,"DunkinDonuts"
"hell",3,"DunkinDonuts"
"hope",3,"DunkinDonuts"
"htt",3,"DunkinDonuts"
"illustration",3,"DunkinDonuts"
"issue",3,"DunkinDonuts"
"jingle",3,"DunkinDonuts"
"jodeekenney",3,"DunkinDonuts"
"kaiju",3,"DunkinDonuts"
"karachi",3,"DunkinDonuts"
"kourtpng",3,"DunkinDonuts"
"la",3,"DunkinDonuts"
"lettrship",3,"DunkinDonuts"
"likes",3,"DunkinDonuts"
"lots",3,"DunkinDonuts"
"mad",3,"DunkinDonuts"
"maddyczebstrib",3,"DunkinDonuts"
"miracle",3,"DunkinDonuts"
"miss",3,"DunkinDonuts"
"msginabrooks",3,"DunkinDonuts"
"nh",3,"DunkinDonuts"
"note",3,"DunkinDonuts"
"nurselongfellow",3,"DunkinDonuts"
"orange",3,"DunkinDonuts"
"paul",3,"DunkinDonuts"
"pgdauzleiq",3,"DunkinDonuts"
"philadelphia",3,"DunkinDonuts"
"plastic",3,"DunkinDonuts"
"pls",3,"DunkinDonuts"
"powered",3,"DunkinDonuts"
"pretty",3,"DunkinDonuts"
"pug",3,"DunkinDonuts"
"real",3,"DunkinDonuts"
"realize",3,"DunkinDonuts"
"remembering",3,"DunkinDonuts"
"respond",3,"DunkinDonuts"
"rn",3,"DunkinDonuts"
"sandwich",3,"DunkinDonuts"
"saturday's",3,"DunkinDonuts"
"sausage",3,"DunkinDonuts"
"school",3,"DunkinDonuts"
"seasonal",3,"DunkinDonuts"
"send",3,"DunkinDonuts"
"sending",3,"DunkinDonuts"
"shops",3,"DunkinDonuts"
"shoutout",3,"DunkinDonuts"
"sinbadbad",3,"DunkinDonuts"
"spoiled",3,"DunkinDonuts"
"sponsor",3,"DunkinDonuts"
"sprinkles",3,"DunkinDonuts"
"started",3,"DunkinDonuts"
"street",3,"DunkinDonuts"
"styrofoam",3,"DunkinDonuts"
"talk",3,"DunkinDonuts"
"tastes",3,"DunkinDonuts"
"tho",3,"DunkinDonuts"
"throw",3,"DunkinDonuts"
"top",3,"DunkinDonuts"
"twists",3,"DunkinDonuts"
"type",3,"DunkinDonuts"
"upset",3,"DunkinDonuts"
"ur",3,"DunkinDonuts"
"waste",3,"DunkinDonuts"
"watch",3,"DunkinDonuts"
"west",3,"DunkinDonuts"
"winter",3,"DunkinDonuts"
"won",3,"DunkinDonuts"
"wow",3,"DunkinDonuts"
"wtf",3,"DunkinDonuts"
"yesterday",3,"DunkinDonuts"
"ability",2,"DunkinDonuts"
"activity",2,"DunkinDonuts"
"added",2,"DunkinDonuts"
"address",2,"DunkinDonuts"
"addressed",2,"DunkinDonuts"
"adventures",2,"DunkinDonuts"
"af",2,"DunkinDonuts"
"afternoon",2,"DunkinDonuts"
"agree",2,"DunkinDonuts"
"album",2,"DunkinDonuts"
"allentown",2,"DunkinDonuts"
"almondjoy",2,"DunkinDonuts"
"amtrak",2,"DunkinDonuts"
"angelhollidayz",2,"DunkinDonuts"
"animalworldwiid",2,"DunkinDonuts"
"apparently",2,"DunkinDonuts"
"aricavanboxtel",2,"DunkinDonuts"
"art",2,"DunkinDonuts"
"aubreykende",2,"DunkinDonuts"
"azcardinals",2,"DunkinDonuts"
"bag",2,"DunkinDonuts"
"barista",2,"DunkinDonuts"
"bc",2,"DunkinDonuts"
"beating",2,"DunkinDonuts"
"beccybooluvsyou",2,"DunkinDonuts"
"begging",2,"DunkinDonuts"
"begin",2,"DunkinDonuts"
"beverage",2,"DunkinDonuts"
"biggest",2,"DunkinDonuts"
"bigserb",2,"DunkinDonuts"
"block",2,"DunkinDonuts"
"bneidhardt",2,"DunkinDonuts"
"boiz",2,"DunkinDonuts"
"bought",2,"DunkinDonuts"
"box",2,"DunkinDonuts"
"bread",2,"DunkinDonuts"
"brow",2,"DunkinDonuts"
"burglary",2,"DunkinDonuts"
"bus",2,"DunkinDonuts"
"ca",2,"DunkinDonuts"
"cancel",2,"DunkinDonuts"
"cappuccino",2,"DunkinDonuts"
"captured",2,"DunkinDonuts"
"cards",2,"DunkinDonuts"
"carmel",2,"DunkinDonuts"
"cashier",2,"DunkinDonuts"
"ccrclifecast",2,"DunkinDonuts"
"chai",2,"DunkinDonuts"
"cherry",2,"DunkinDonuts"
"class",2,"DunkinDonuts"
"classic",2,"DunkinDonuts"
