"id","sentiment_score","brand"
140,-3,"Starbucks"
141,1,"Starbucks"
142,-2.5,"Starbucks"
143,-1,"Starbucks"
144,-4,"Starbucks"
146,1,"Starbucks"
148,-4,"Starbucks"
149,2,"Starbucks"
151,3,"Starbucks"
152,-1,"Starbucks"
153,1,"Starbucks"
154,0.5,"Starbucks"
155,-0.5,"Starbucks"
157,2.33333333333333,"Starbucks"
158,-0.666666666666667,"Starbucks"
159,2.33333333333333,"Starbucks"
161,-1,"Starbucks"
162,2.33333333333333,"Starbucks"
163,3,"Starbucks"
165,4,"Starbucks"
166,1,"Starbucks"
167,-1,"Starbucks"
168,1,"Starbucks"
170,2.5,"Starbucks"
172,2,"Starbucks"
175,4,"Starbucks"
176,1.5,"Starbucks"
178,2,"Starbucks"
188,2,"Starbucks"
189,-1,"Starbucks"
190,1,"Starbucks"
191,4,"Starbucks"
193,2,"Starbucks"
194,1,"Starbucks"
195,2,"Starbucks"
196,-2,"Starbucks"
197,2.5,"Starbucks"
201,3,"Starbucks"
202,2,"Starbucks"
203,2,"Starbucks"
205,2,"Starbucks"
206,2,"Starbucks"
208,2.5,"Starbucks"
209,2.5,"Starbucks"
210,2.5,"Starbucks"
211,2,"Starbucks"
212,-1,"Starbucks"
213,-1,"Starbucks"
214,3,"Starbucks"
216,2,"Starbucks"
218,-1.66666666666667,"Starbucks"
220,3,"Starbucks"
221,0.5,"Starbucks"
222,1.5,"Starbucks"
224,2,"Starbucks"
226,-3,"Starbucks"
229,-1,"Starbucks"
230,1,"Starbucks"
231,-1.5,"Starbucks"
232,2,"Starbucks"
233,0,"Starbucks"
234,3,"Starbucks"
237,4,"Starbucks"
238,1.5,"Starbucks"
239,-1,"Starbucks"
245,1.5,"Starbucks"
246,4,"Starbucks"
249,2,"Starbucks"
250,2,"Starbucks"
251,-2,"Starbucks"
252,1,"Starbucks"
253,-3,"Starbucks"
254,-1,"Starbucks"
259,2,"Starbucks"
262,-0.5,"Starbucks"
265,-1,"Starbucks"
267,-1,"Starbucks"
268,2.5,"Starbucks"
271,4,"Starbucks"
274,2,"Starbucks"
277,2,"Starbucks"
282,3,"Starbucks"
285,1.5,"Starbucks"
287,2,"Starbucks"
288,-1,"Starbucks"
289,2,"Starbucks"
290,2,"Starbucks"
291,3,"Starbucks"
293,2,"Starbucks"
294,1.5,"Starbucks"
295,2,"Starbucks"
297,3,"Starbucks"
298,4,"Starbucks"
300,3,"Starbucks"
302,1,"Starbucks"
303,-2,"Starbucks"
304,-1,"Starbucks"
306,-1,"Starbucks"
307,1,"Starbucks"
309,-2,"Starbucks"
311,1,"Starbucks"
314,2,"Starbucks"
317,-2,"Starbucks"
320,-2,"Starbucks"
322,-1,"Starbucks"
324,2,"Starbucks"
327,0.5,"Starbucks"
328,3,"Starbucks"
332,2,"Starbucks"
336,2,"Starbucks"
338,-1,"Starbucks"
339,2.5,"Starbucks"
347,-1,"Starbucks"
350,-2,"Starbucks"
352,2,"Starbucks"
356,-2,"Starbucks"
358,0.333333333333333,"Starbucks"
361,-4,"Starbucks"
362,2,"Starbucks"
363,-1,"Starbucks"
364,3,"Starbucks"
365,-0.666666666666667,"Starbucks"
366,-2.5,"Starbucks"
367,-1,"Starbucks"
368,-1,"Starbucks"
371,4,"Starbucks"
375,3,"Starbucks"
377,2,"Starbucks"
379,-0.5,"Starbucks"
383,-1,"Starbucks"
384,-4,"Starbucks"
386,3,"Starbucks"
387,2,"Starbucks"
390,0,"Starbucks"
391,-1,"Starbucks"
392,2,"Starbucks"
393,2,"Starbucks"
395,1,"Starbucks"
397,2,"Starbucks"
398,-1,"Starbucks"
399,-2,"Starbucks"
400,3,"Starbucks"
401,2,"Starbucks"
402,2,"Starbucks"
404,1,"Starbucks"
406,-1,"Starbucks"
407,3.5,"Starbucks"
410,0.5,"Starbucks"
411,4,"Starbucks"
416,2,"Starbucks"
417,3,"Starbucks"
422,2,"Starbucks"
424,3,"Starbucks"
426,-1,"Starbucks"
432,2,"Starbucks"
433,0,"Starbucks"
437,0,"Starbucks"
439,3,"Starbucks"
441,-1,"Starbucks"
442,-1,"Starbucks"
445,-4,"Starbucks"
447,3,"Starbucks"
448,0,"Starbucks"
450,1,"Starbucks"
452,0,"Starbucks"
453,1.5,"Starbucks"
